HitId,Text,Decision1,Decision2,Decision1_HitId,Decision2_HitId,Referring_Story_Id,Referring_Decision
ORIGINAL,"The monarchy raids the rebel insurgent headquarters, capturing the leader. He declares war against all who oppose him with the threat of public execution. You believe in the rebels\' cause to liberate the people, but you are also afraid of being killed by the monarchy. You hear a banging at your door by someone who ends up being a high ranking officer in the monarchy. He immediately finds out that you are building weapons for the insurgents.","Impale the officer, killing him.","You turn yourself in, begging on your knees declaring your loyalty to the monarchy.",3YLPJ8OXX8D170CI4QM4HD1Z4W2X43,389A2A304OIW5EJMUT3FRXQCM2ZC01,N/A,N/A
3YLPJ8OXX8D170CI4QM4HD1Z4W2X43,You look around and see some soldiers of the monarchy walking towards you. You have noticed that on that first moment they were focused on seeking and capturing other rebels and none of them have realized the dead officer\'s body in front of you.,Pull the body in and close the door,Leave the body and run away for cover.,3J5XXLQDHMBOLFOJ4XG3JNC8AMOV35,3ZG552ORAM4Z0XS00X2Y0D7G48OV2U,ORIGINAL,1
389A2A304OIW5EJMUT3FRXQCM2ZC01,"The officer pulls out his sword and threatens to kill you if you don\'t listen to his commands. He asks you to prove your loyalty to the monarchy, by giving away the identities of the insurgents. Your senses are heightened by your fear and adrenaline and you notice a smelting rod on the ground.",Tell the officer their identities.,Grab the rod to fight back.,3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,388CL5C1RJN0JIJO5E3Z08FG2T5HLG,ORIGINAL,2
3J5XXLQDHMBOLFOJ4XG3JNC8AMOV35,"THEN YOU MAKE CAVE INSIDE YOUR HOME TO HIDE OFFICER BODY.IT MAKES SOME NOICE. NOW DOOR KNOKING SOUND IS COME.YOU GO AND SEE WITHOUT OPEN DOOR BY WINDOW,ONE OFFICER IS THERE.",You RUN BY BACK DOOR,You HIDE BODY AND OPEN DOOR,3LXX8KJXPW9FAX42KUVZF8LMEL99O6,32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,3YLPJ8OXX8D170CI4QM4HD1Z4W2X43,1
3ZG552ORAM4Z0XS00X2Y0D7G48OV2U,"You find yourself in a forest, surrounded by dense and rather sinister looking trees. There is a path to your left and a path to your right.",You take the left path,You take the right path,30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,3YLPJ8OXX8D170CI4QM4HD1Z4W2X43,2
3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,"AND YOU SLOWLY MOVE TOWARDS THE ROD.YOU TAKE THAT ROD AND HIT THAT OFFICER HE FELL DOWN.THEN YOU RUN AWAY FROM YOUR HOME AND DISAPPEARANCE INTO FOREST.NOW YOU REALIZE, ALL THE IDENTITIES YOU LEAVE FROM HOME",You gO TO HOME AND FIGHT WITH OFFICER TO REMOVE IDENTITIES,You gO FURTHER INTO FOREST AND MAKE YOUR LIFE IN FOREST,3126F2F5F83EQT7K75O0WMRNFNLEP2,38DCH97KHH271LURLJEGT7UPPR3JQJ,389A2A304OIW5EJMUT3FRXQCM2ZC01,1
388CL5C1RJN0JIJO5E3Z08FG2T5HLG,You turn around after grabbing the smelting rod. You\'re instincts kick in and you realize there are only two choices you could possibly make in this scenario.,"You fight the officers, and risk execution","You admit defeat, and stand down.",31ANT7FQN82MHTG3DRNSJJJJG3CH5Z,3MD8CKRQZZN7DM9RYY3GYX4ULD5JRK,389A2A304OIW5EJMUT3FRXQCM2ZC01,2
3LXX8KJXPW9FAX42KUVZF8LMEL99O6,You escape into the forest and run walk noiselessly through it. After 1 hour you  see a small settlement on the path.,You enter the settlement and get food and supplies,You avoid it.,,,3J5XXLQDHMBOLFOJ4XG3JNC8AMOV35,1
32ZCLEW0BZKM19TCL6ZRT24FKVHJPS,"After hiding the body you warn your family and they decide to flee the place, take what little they can and go to the depository where there are weapons and get a rifle to defend themselves on the way.",You the rifle was loaded,"You the rifle was out of ammunition, yet he decided to take it",,,3J5XXLQDHMBOLFOJ4XG3JNC8AMOV35,2
30F94FBDNRKEBIO7EVVU0OMZ1TTBT4,"you will climb a giant tree to find a way into the deep forest. you see the little village of the tribe. They are growing vegetables and fruits like manioc, corn, beans, and bananas",You ask them food and shelter,You stay silent and go away from tribes,,,3ZG552ORAM4Z0XS00X2Y0D7G48OV2U,1
39WSF6KUV2LW5TVJS5BL7MMX5IPEOL,On your way you see some bandits around a camp fire. There is 3 of them and are heavily armed.,You go fight the bandits.,You sneak into the camp and steal things.,,,3ZG552ORAM4Z0XS00X2Y0D7G48OV2U,2
3126F2F5F83EQT7K75O0WMRNFNLEP2,You go towards your home and see that soldiers are waiting to capture you. You see that there are only 5 soldiers in the group and all hiding quite scattered from each other in the woods around your home.,You kill the soldiers one by one and enter home to collect your stuff.,You turn back without getting your stuff.,,,3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,1
38DCH97KHH271LURLJEGT7UPPR3JQJ,"You find a woman in the forest that lives in a house deep in the forest. She is strange and mysterious, but very beautiful.",You go knock the door on the house.,You wait for the woman to come outside and capture her.,,,3WRBLBQ2GR89MQZRWFZYHOBRKVH0GR,2
31ANT7FQN82MHTG3DRNSJJJJG3CH5Z,You charge at the officer and knock him down with the rod. You grab his sword and rush screaming at the soldiers. They give way and you escape unharmed. You keep running and come to a huge river. You look back and see the soldiers following you. You have 2 choices.,You swim across the river and escape.,You turn and fight.,,,388CL5C1RJN0JIJO5E3Z08FG2T5HLG,1
3MD8CKRQZZN7DM9RYY3GYX4ULD5JRK,"You are taken aback at first, admit your defeat tell officer you want to meet monarchy and you want to prove your loyalty to the monarchy, by giving away the identities of the insurgents.",You attack officer when he is not paying attention,You run away from officer when he takes you to monarchy,,,388CL5C1RJN0JIJO5E3Z08FG2T5HLG,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,